,date,time,checkbox,sigungu,tel,extra
0,10/18,10:30,V,용산구,010-1256-7910,
1,10/18,10:40,V,서초구,010-3491-2376,0
2,10/18,10:42,V,강남구,010-2233-4455,0
3,10/18,10:50,V,영등포구,010-3712-2195,0
4,10/18,11:30,V,송파구,010-9930-1393,0
5,10/18,11:40,V,마포구,010-1311-4897,0
6,10/18,13:30,V,성북구,010-3158-7762,0
7,10/18,15:20,0,종로구,010-1783-4461,0
8,10/19,10:00,0,용산구,010-0127-9903,0
9,10/19,11:11,0,강남구,010-1018-1428,0
10,10/19,12:30,0,강서구,010-2903-3655,0
11,10/19,17:30,0,강동구,010-1357-2468,0
12,10/19,17:50,0,동대문구,010-4337-8890,0
13,10/19,18:10,0,중랑구,010-4567-8901,0
14,10/19,18:20,0,중구,010-5500-1359,0
15,10/19,19:00,0,동작구,010-3712-5319,0
